Player,Pos,Age,Tm,G,FG,FG%,eFG%,PTS
Shaedon Sharpe,SG,19,POR,4,2.5,.500,.600,6.8
Jose Alvarado,PG,24,NOP,3,2.7,.500,.594,6.7
Larry Nance Jr.,PF,30,NOP,3,3.3,.556,.556,6.7
Immanuel Quickley,PG,23,NYK,3,2.7,.320,.380,6.7
Naz Reid,C,23,MIN,3,2.7,.471,.529,6.7
Derrick Rose,PG,34,NYK,3,2.3,.389,.500,6.7
Zach Collins,PF,25,SAS,4,2.8,.524,.571,6.5
George Hill,PG,36,MIL,2,2.5,.833,1.000,6.5
Goga Bitadze,C,23,IND,4,2.5,.556,.583,6.3
Richaun Holmes,PF,29,SAC,3,2.7,.727,.727,6.3
Walker Kessler,C,21,UTA,4,2.5,.667,.667,6.3
Caleb Martin,SF,27,MIA,3,2.7,.333,.354,6.3
De'Anthony Melton,PG,24,PHI,4,2.3,.450,.550,6.3
Eugene Omoruyi,SF,25,OKC,3,2.3,.538,.577,6.3
Duncan Robinson,SF,28,MIA,4,2.3,.529,.706,6.3
Coby White,PG,22,CHI,4,2.3,.346,.423,6.3
Dorian Finney-Smith,PF,29,DAL,2,2.5,.500,.600,6
Justin Jackson,SF,27,BOS,1,2.0,.667,1.000,6
Cory Joseph,PG,31,DET,3,2.0,.600,.800,6
Georges Niang,PF,29,PHI,4,2.0,.500,.688,6
Rudy Gay,SF,36,UTA,4,2.3,.409,.523,5.8
Jake LaRavia,PF,21,MEM,4,1.8,.412,.588,5.8
Jeremy Sochan,PF,19,SAS,4,2.8,.458,.458,5.8
Kevon Looney,PF,26,GSW,3,2.7,.667,.667,5.7
Ben Simmons,PG,26,BRK,3,2.3,.538,.538,5.7
Bruno Fernando,C,24,HOU,2,2.5,.833,.833,5.5
Joe Harris,SG,31,BRK,2,2.0,.333,.458,5.5
Maxi Kleber,PF,31,DAL,2,2.0,.500,.625,5.5
Daniel Gafford,PF,24,WAS,3,2.7,.727,.727,5.3
JaMychal Green,PF,32,GSW,3,2.0,.462,.577,5.3
Patrick Williams,PF,21,CHI,4,2.0,.320,.360,5.3
Steven Adams,C,29,MEM,4,2.0,.571,.571,5
Patrick Beverley,PG,34,LAL,3,1.0,.200,.300,5
Donte DiVincenzo,SG,26,GSW,3,1.7,.455,.545,5
Justin Holiday,SG,33,ATL,3,1.7,.250,.375,5
David Roddy,PF,21,MEM,4,2.0,.276,.310,5
Aaron Wiggins,SG,24,OKC,2,1.0,.333,.417,5
Jalen Williams,SG,21,OKC,1,2.0,1.000,1.250,5
Sam Hauser,PF,25,BOS,4,1.5,.545,.818,4.8
Terry Taylor,SG,23,IND,4,1.8,.350,.400,4.8
Terance Mann,SG,26,LAC,3,2.0,.750,.813,4.7
Austin Reaves,SG,24,LAL,3,1.3,.400,.500,4.7
